song,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
PSY or DIE,0.484,0.756,6.0,-4.379,0.0,0.0579,0.00209,0.314,0.3,0.239,139.909,187093.0
Edge,0.59,0.828,0.0,-6.28,1.0,0.0439,0.277,5.57e-06,0.0868,0.636,111.353,329680.0
Relax,0.548,0.0282,7.0,-26.562,1.0,0.0441,0.936,0.596,0.192,0.22,108.517,97025.0
Diluted Brains,0.672,0.733,5.0,-9.856,0.0,0.118,0.138,0.7,0.12,0.254,194.071,247423.0
Premonition,0.849,0.64,1.0,-5.193,1.0,0.362,0.0268,0.000895,0.383,0.497,165.993,173882.0
DRUGS!,0.867,0.826,2.0,-2.318,1.0,0.0906,0.00934,0.153,0.0585,0.473,143.024,214825.0
Synesthesia,0.575,0.397,7.0,-9.161,1.0,0.0308,0.756,0.0,0.279,0.202,129.843,259067.0
Ascension,0.762,0.459,0.0,-10.307,1.0,0.0379,0.111,0.0219,0.147,0.749,96.069,345976.0
Witching Hour,0.539,0.938,2.0,-4.331,1.0,0.0403,0.00089,3.44e-05,0.22,0.614,152.98,249640.0
Life & Death,0.753,0.527,10.0,-5.411,0.0,0.219,0.0403,0.0145,0.102,0.301,104.998,189143.0
Spider On The Moon,0.691,0.704,1.0,-7.615,1.0,0.177,0.084,0.863,0.124,0.0417,170.027,214588.0
Let Me In,0.483,0.795,8.0,-4.338,0.0,0.181,0.00258,0.0,0.0912,0.685,171.853,189859.0
Sacrificial,0.552,0.619,5.0,-5.33,0.0,0.3,0.497,0.0,0.166,0.578,149.463,190800.0
Spun,0.444,0.971,1.0,-1.56,1.0,0.494,0.00279,0.231,0.705,0.366,158.469,248571.0
Vortex,0.26,0.472,1.0,-8.875,0.0,0.035,0.0626,0.0,0.387,0.264,85.597,249048.0
ID3,0.807,0.525,2.0,-9.903,1.0,0.0712,0.119,0.793,0.353,0.397,100.046,61250.0
ID7,0.7,0.731,11.0,-10.497,0.0,0.0523,0.573,0.793,0.0998,0.038,100.008,176375.0
ID8,0.546,0.813,0.0,-12.015,0.0,0.0495,0.312,0.899,0.108,0.336,100.011,158125.0
Taste of You,0.667,0.679,0.0,-6.616,1.0,0.0475,0.0064,5.28e-05,0.17,0.32,100.054,167606.0
Hypnocurrency,0.528,0.732,2.0,-9.492,1.0,0.0504,0.0319,0.868,0.109,0.0324,199.978,292525.0
Orbit,0.49,0.411,2.0,-10.835,1.0,0.0303,0.0559,0.757,0.136,0.101,115.628,138267.0
Hell on Earth,0.875,0.658,0.0,-3.641,1.0,0.359,0.275,0.0,0.122,0.661,92.038,274093.0
Dark Age,0.705,0.712,6.0,-6.156,1.0,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960.0
Kiss of Death,0.544,0.908,5.0,-3.174,1.0,0.0743,0.000776,0.0,0.366,0.192,122.037,250200.0
Stress,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0
Lonely,0.633,0.529,5.0,-7.85,0.0,0.0339,0.307,0.0,0.342,0.578,90.08,235067.0
Mixed Signals,0.613,0.24,0.0,-8.323,1.0,0.0448,0.934,0.0,0.106,0.275,120.158,255307.0
Flying Octopus,0.643,0.968,6.0,-5.894,1.0,0.0644,0.00153,0.853,0.105,0.473,131.035,211617.0
Fourth Impact,0.612,0.525,7.0,-7.556,1.0,0.042,0.0998,0.453,0.0756,0.362,219.883,240000.0
Purple Gusher,0.656,0.878,9.0,-4.678,1.0,0.0616,0.142,0.15,0.145,0.317,196.01,230412.0
Melancholy,0.5,0.224,3.0,-12.431,1.0,0.0935,0.646,0.0,0.284,0.62,202.481,175333.0
Paranoid,0.429,0.631,4.0,-11.514,0.0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,168440.0
Plague,0.459,0.415,0.0,-14.067,0.0,0.0436,0.731,0.0,0.0939,0.233,113.876,160440.0
Superliminal,0.725,0.661,0.0,-7.457,1.0,0.0454,0.00564,0.928,0.0862,0.0367,128.016,392693.0
Great Spirit,0.592,0.911,9.0,-7.975,1.0,0.0659,0.00608,0.0123,0.223,0.211,103.517,215773.0
End of Line,0.182,0.449,2.0,-11.344,1.0,0.0305,0.000594,0.738,0.283,0.0396,195.86,156486.0
Violence - REZZ Remix,0.596,0.661,2.0,-7.533,0.0,0.0382,0.0713,0.817,0.209,0.124,99.951,195300.0
Among The Sef,0.291,0.748,1.0,-8.889,1.0,0.201,0.95,0.863,0.129,0.218,104.393,275867.0
All Night,0.806,0.408,10.0,-8.827,0.0,0.286,0.189,1.1e-06,0.0622,0.479,145.131,136560.0
