song,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
Gold Digger,0.629,0.696,1.0,-5.572,0.0,0.348,0.0195,0.0,0.0554,0.623,93.034,207627.0
All Falls Down,0.657,0.734,8.0,-4.832,0.0,0.484,0.149,0.0,0.139,0.434,91.03,223507.0
Hurricane,0.757,0.825,7.0,-4.062,0.0,0.0701,0.0398,2.63e-06,0.0798,0.446,95.01,243987.0
Life Of The Party (with André 3000),0.502,0.714,2.0,-6.668,1.0,0.257,0.138,0.0,0.97,0.305,79.136,391656.0
Jail,0.647,0.582,10.0,-9.538,0.0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,146480.0
Come to Life,0.44,0.465,3.0,-6.592,1.0,0.0318,0.689,1.26e-06,0.384,0.241,126.937,310394.0
Believe What I Say,0.595,0.656,7.0,-7.868,1.0,0.247,0.148,0.0,0.47,0.416,99.811,242400.0
No Child Left Behind,0.161,0.327,1.0,-8.059,0.0,0.0341,0.00632,0.792,0.138,0.0815,135.382,178061.0
God Breathed,0.325,0.311,10.0,-7.481,1.0,0.0442,0.289,6.74e-05,0.11,0.0789,92.744,333462.0
Lord I Need You,0.711,0.428,1.0,-7.274,0.0,0.307,0.145,0.0,0.534,0.197,83.036,162108.0
Jail pt 2,0.7,0.572,4.0,-6.459,1.0,0.0515,0.453,0.0,0.0871,0.686,109.985,297000.0
Good Morning,0.48,0.631,7.0,-5.488,1.0,0.116,0.0791,0.000105,0.149,0.515,84.164,195093.0
Stronger,0.617,0.717,10.0,-7.858,0.0,0.153,0.00564,0.0,0.408,0.49,103.992,311867.0
Can't Tell Me Nothing,0.596,0.62,5.0,-6.133,0.0,0.039,0.0122,0.0,0.82,0.102,80.029,271600.0
Famous,0.465,0.735,6.0,-3.715,1.0,0.117,0.0711,0.0,0.0975,0.409,173.935,196040.0
Hell Of A Life,0.449,0.813,8.0,-5.478,1.0,0.129,0.00142,0.000172,0.106,0.452,177.962,327787.0
All Of The Lights,0.531,0.803,1.0,-3.284,1.0,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613.0
I Wonder,0.542,0.466,0.0,-8.665,1.0,0.0831,0.141,0.000445,0.125,0.124,191.385,243440.0
Wash Us In The Blood,0.67,0.847,10.0,-4.85,1.0,0.409,0.184,0.0,0.304,0.381,137.22,189827.0
Eazy,0.716,0.551,1.0,-6.987,1.0,0.47,0.167,0.0,0.197,0.305,82.393,234288.0
Violent Crimes,0.669,0.419,1.0,-6.724,0.0,0.522,0.376,0.0,0.187,0.0397,109.813,215320.0
Follow God,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0
Use This Gospel,0.611,0.459,0.0,-3.926,0.0,0.0422,0.614,0.0,0.126,0.177,148.28,213878.0
Jesus Is Lord,0.243,0.26,4.0,-5.876,0.0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,49293.0
Feedback,0.846,0.649,1.0,-6.849,0.0,0.0534,0.000341,0.0,0.0623,0.496,114.976,218213.0
Father Stretch My Hands Pt. 1,0.724,0.573,7.0,-4.113,1.0,0.0549,0.118,0.0,0.538,0.438,113.088,135920.0
Jesus Lord,0.477,0.713,1.0,-6.805,1.0,0.126,0.0984,0.00844,0.0879,0.113,106.137,538537.0
New Again,0.67,0.675,6.0,-4.624,0.0,0.179,0.0581,0.0,0.433,0.263,90.948,183297.0
Moon,0.639,0.723,7.0,-6.462,0.0,0.0532,0.511,0.0,0.167,0.878,136.872,187558.0
Off The Grid,0.546,0.64,8.0,-5.582,1.0,0.37,0.0438,0.0,0.137,0.63,137.728,339250.0
Otis,0.754,0.631,7.0,-4.751,0.0,0.307,0.552,0.0,0.5,0.432,94.577,178213.0
Saint Pablo,0.461,0.772,2.0,-3.98,0.0,0.375,0.282,0.0,0.178,0.414,167.018,372113.0
Champion,0.663,0.875,6.0,-3.301,1.0,0.183,0.0821,0.0,0.124,0.51,91.056,223999.0
Runaway,0.374,0.568,1.0,-3.825,0.0,0.109,0.219,0.00219,0.513,0.111,84.733,547733.0
New Slaves,0.506,0.59,1.0,-4.322,1.0,0.076,0.165,1.09e-05,0.096,0.359,141.099,256093.0
Bound 2,0.367,0.665,1.0,-2.821,1.0,0.0465,0.145,0.0,0.113,0.31,148.913,229147.0
Heartless,0.79,0.647,10.0,-5.983,0.0,0.136,0.0515,0.0,0.248,0.654,87.999,211000.0
